,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
mean_fit_time,69.50057601928711,68.81758151054382,0.10987000465393067,0.6423852443695068,27.87434115409851,57.82842698097229,64.8452784061432,7.048399591445923,65.53351736068726,65.88713121414185,66.16167707443238,54.753106689453126,0.10717182159423828,65.25128078460693,0.0942004680633545,64.64812660217285,64.42242131233215,41.35907425880432,0.09787378311157227,9.671189451217652,52.099668979644775,66.37345929145813,13.169942665100098,66.10836462974548,1.707560920715332,27.94016900062561,55.56837320327759,65.31250472068787,0.09943022727966308,68.94811797142029,72.64220104217529,47.00992431640625,72.88585081100464,7.763443422317505,8.350921964645385,30.398317193984987,0.11043829917907715,0.11549100875854493,72.88714089393616,0.11718611717224121,66.59686274528504,64.4943621635437,64.97063040733337,0.11508097648620605,56.37109813690186,0.11886563301086425,9.140559911727905,0.09361658096313477,3.419520378112793,74.17851409912109,19.99280791282654,47.37402291297913,0.11673388481140137,0.11413130760192872,32.05419793128967,73.99511275291442,75.76906247138977,68.17051277160644,66.0855309009552,73.23748273849488,7.402154016494751,0.11224746704101562,0.11746826171875,0.11491189002990723,0.1173779010772705,63.67037224769592,7.029551601409912,73.10439066886902,8.025715208053589,45.81268734931946,8.811372184753418,0.09505772590637207,47.00330352783203,16.817231321334837,74.18844785690308,4.761813735961914,0.12051849365234375,75.91120529174805,77.67880115509033,77.52737131118775,76.60323638916016,7.637429475784302,74.8422025680542,73.58252744674682,55.458583211898805,0.0993607521057129,68.8632423877716,7.465123176574707,73.8907606124878,55.44252257347107,64.72315454483032,52.962315273284915,65.08332667350768,3.6364189624786376,52.822789430618286,60.98954315185547,4.59111647605896,0.10292935371398926,51.29618787765503,7.621452188491821
std_fit_time,0.7891402900228697,2.593758965885442,0.010090473673517593,1.0710202253581844,30.084777469605214,13.244564634584295,1.693730242334662,3.0764086147673155,0.7605201405173155,1.7849317923139494,1.7540919421016834,21.460351861257205,0.003588974379226887,0.9476880462297992,0.0026939801056303724,1.457624619868799,1.6530550891098577,29.909741760229437,0.010258889799573331,3.9842861410768218,23.819843172143884,1.0098661426209559,2.2332403519943775,0.7571761435277242,2.163889216393262,30.514900463025505,21.754487707664193,1.3061086079817963,0.006898881289587726,1.9598614603461029,1.096173805151366,33.49445782232608,1.1847165346841095,0.7245730251946425,1.1676908072506744,35.970178706603704,0.007451729861923462,0.005483399528664954,2.070989071552625,0.00596570204148204,3.1970990865046014,0.4822828370141347,0.9700568695781915,0.005131889925622353,27.11791589437202,0.011671020895919097,18.077962781226887,0.005619975272748627,0.039258041555570604,1.8929318426285913,28.517352156557912,33.347749561819555,0.010580172873226493,0.008015253280431671,35.36071630068933,1.821854535101544,1.4641550866236843,2.0500706363267756,1.3445542130729833,2.0292603329792422,0.5892530175014479,0.0016032988204934837,0.009278146054117954,0.008603677765379292,0.008974387141930537,23.3023121655843,0.41512609569332276,2.6788796286950136,0.41380656028426593,35.07292226494181,2.6400932444052003,0.008270785007758474,34.50891098052175,28.98539694175774,2.031051757680899,0.32972368035979555,0.008496071186539696,1.876947167223141,1.1409161747408698,1.2560335351590688,1.5876338109817543,1.177006362633449,1.8507150194210134,3.5471699025813006,23.90008407978939,0.01452068370128499,2.567740419556598,0.32680014602718027,2.4381432275669277,26.38551896321671,0.6297512051681483,25.223758355817047,0.8354226062969108,0.17834172381087177,24.642501326567224,2.127519078116147,0.24586057181566479,0.01490638052513864,0.7547240743103096,2.0068160565616067
mean_score_time,0.04088301658630371,0.040271759033203125,0.02162594795227051,0.022222328186035156,0.03646354675292969,0.04108471870422363,0.038116979598999026,0.03812079429626465,0.03992924690246582,0.04003095626831055,0.03792548179626465,0.03575277328491211,0.01948075294494629,0.036095809936523435,0.016767072677612304,0.03937454223632812,0.037144708633422854,0.037501859664916995,0.019159746170043946,0.03924155235290527,0.03979978561401367,0.038123273849487306,0.0357609748840332,0.03745932579040527,0.028963518142700196,0.04499707221984863,0.03952631950378418,0.04240684509277344,0.02061610221862793,0.043111658096313475,0.04418363571166992,0.04066553115844727,0.049765491485595705,0.04276289939880371,0.04612865447998047,0.030787897109985352,0.02152080535888672,0.024422836303710938,0.0433896541595459,0.022252511978149415,0.04253740310668945,0.03926763534545898,0.03719825744628906,0.023950481414794923,0.04540872573852539,0.02073521614074707,0.023465681076049804,0.018804502487182618,0.038576936721801756,0.042183876037597656,0.029742717742919922,0.042412948608398435,0.02107229232788086,0.024090671539306642,0.04136734008789063,0.04026188850402832,0.046462726593017575,0.03902778625488281,0.03934774398803711,0.045245933532714847,0.04169273376464844,0.02289280891418457,0.021048974990844727,0.021662569046020506,0.023990917205810546,0.04035396575927734,0.0452275276184082,0.043652677536010744,0.04496898651123047,0.04176740646362305,0.0368598461151123,0.019788026809692383,0.041300201416015626,0.041767549514770505,0.041260290145874026,0.04581327438354492,0.024100303649902344,0.047351837158203125,0.04534668922424316,0.04548954963684082,0.04108343124389648,0.04388546943664551,0.044035816192626955,0.03963475227355957,0.04191598892211914,0.02121081352233887,0.04206209182739258,0.04276795387268066,0.04063749313354492,0.03862719535827637,0.0358980655670166,0.039742231369018555,0.039471769332885744,0.04316258430480957,0.04078383445739746,0.03350234031677246,0.03710231781005859,0.01814746856689453,0.0151611328125,0.03410758972167969
std_score_time,0.004533410397770611,0.004876222034781902,0.0031908455483132805,0.007499258543123041,0.002561564058481853,0.0031800740493496005,0.005085553416681155,0.0019289701637386972,0.0052243335138873965,0.003003901495592072,0.0022649626380094588,0.0010705126738205723,0.0018274147541434008,0.002406607021857957,0.001225450877376119,0.002245488525419378,0.0018867725923005017,0.0042638808266201355,0.002988495538028105,0.004757385833607171,0.002466202010872366,0.002637203122598858,0.0040093594994850545,0.0034882137940364425,0.015334672249504813,0.005867524492925067,0.007572597120704244,0.003530553236985245,0.0014532263829601477,0.004768205922587017,0.0029835311468873,0.00301414587456236,0.005277344406577548,0.005162510671382581,0.0070889673650613326,0.009269768678197909,0.002146131062918418,0.002114010463791436,0.005598923937418403,0.0028549419763891745,0.01119936084844112,0.0016687341343459834,0.002231332554284319,0.0046758069726829605,0.009636079321135744,0.0044538308239146914,0.009390441000843913,0.002531804345304092,0.0026691838459142383,0.003913598089421798,0.010742273303041117,0.0014367836491337006,0.0031107009484097905,0.004534624633699803,0.011649718175573252,0.0026042858084262947,0.004327460460368334,0.0036367839842127714,0.0028296644455457955,0.004966547780424612,0.005777212336996644,0.0036110435863696256,0.002599067483733471,0.0018596859319428725,0.006616654824971145,0.0014810473966243966,0.0031745062273310235,0.0050585103238090885,0.006765002455548878,0.0038587677661894486,0.0025254592563294705,0.0012206808382473414,0.004889435606015482,0.013211206474326494,0.004193287908598904,0.002136216740478954,0.0035722367238070047,0.009505613838905167,0.006195164980173069,0.0036268159335628536,0.002971026846804648,0.004754479276990956,0.0035145220996819783,0.0017050575546443312,0.0025885751189494706,0.0023301802015934974,0.002368587468220383,0.005004227096646513,0.004726483178590732,0.006557213548639026,0.0020930896715830884,0.002924068934176578,0.0035327534741298144,0.011546580766324666,0.008132475897120912,0.0035907095593267703,0.003419392733633513,0.001465240416426883,0.0033010654923729763,0.0027798136783514023
param_lambd,2.3657759586204537e-09,3.616826969502749e-10,0.0032906406621343474,0.00034906062251516533,2.647558702806732e-08,6.924035908092886e-10,2.0254605139810744e-05,0.07941185431054294,0.00013677713987481074,2.6286969485022007e-08,1.0147355858826029e-08,3.279690343119814e-07,3.149186508447722e-05,3.990703104634772e-05,4.1626774517808325e-09,1.0674427358429156e-08,4.639405917581956e-06,6.2170497827440205e-06,5.210451551251007e-06,0.0008493988124482035,4.601021331692191e-08,0.0003429597066850439,0.0008355901368423341,1.049060408718859e-05,1.7783998919441335e-06,1.0895498471962523e-09,1.8239061949652473e-07,1.1108840960410042e-06,5.460459726068718e-07,6.619880309519364e-10,5.651974544218266e-06,1.0970840365098392e-06,7.468650268246384e-10,0.003338033461463201,0.00435480521801373,1.5379107230854133e-07,6.993025389457888e-10,1.0624892553724256e-07,4.6950582007566175e-08,0.0018037048614938317,5.111306879637882e-05,1.8409297394368653e-10,4.608515954503278e-06,0.0009430397279776237,1.526846407648722e-09,8.69559540676666e-08,0.09909138290686112,2.430119647465802e-10,0.05982905260880546,0.00013142484422418052,0.019061510787834718,1.6319571146102297e-08,0.0002258912051502737,1.8062232312875483e-06,3.789494594801537e-09,2.045893874667179e-07,4.728743370981909e-08,0.00035719157517610404,8.963250568930269e-10,4.985118758843522e-06,0.004802103260132093,3.1593248919042293e-05,1.4191575674918481e-10,0.0018891771017033082,1.0786152330387745e-09,9.121856570902615e-10,0.0018550101218309202,5.064868543961059e-10,0.0033408731145355007,5.302191844331305e-05,0.0014160652040739624,0.0006654511509644203,2.316997325185741e-07,0.0004069841345677482,0.00041804461493772873,0.03216595095583711,7.522748477083201e-05,4.4549063607889215e-07,1.8253303866008063e-09,2.0831899628659748e-10,0.00014288566284378383,0.0011982331759902982,2.5570743802307886e-05,1.0897970192285192e-10,5.05962282283419e-06,1.604946617764226e-10,3.942314621111085e-10,0.00285652266066949,2.6862252676037484e-10,2.185519878865648e-07,1.894416662582743e-08,1.6358617241595704e-05,1.2945713563030026e-05,0.05592924583194092,2.265202087907768e-09,4.560509371119114e-09,0.018053599029081886,0.001575170343881702,3.3067589269909034e-08,0.0008216456972329936
param_learning_rate,8.073648339837064e-05,0.00023965198184953778,0.0060393631292315515,0.0020206386965792088,0.0008552397466905826,1.734034192449749e-05,0.00010715726356597324,0.0007575645062083032,0.000453701736209256,0.00013175835356544723,3.62516518970198e-05,3.7974076145977184e-05,0.004450669462835782,5.745883716400539e-05,0.0028132829156474904,0.0003552805397960181,0.0006325936191960573,1.0963018548966977e-05,0.004871403938083344,2.3364424511947145e-05,0.0006855998877650236,0.0002457493701208448,3.7574489866886296e-05,0.0004490911236999525,0.002374952247905355,0.0011063987967540236,0.00010780196600497566,1.2045554071149962e-05,0.005843796856107418,8.817903457666035e-05,9.642421060882102e-05,1.1194462494293744e-05,0.0011960951256757913,0.00018748475929290895,0.00043689153757891017,0.0015196691474397674,0.0047706371723545285,0.004736941684985836,8.034241278581956e-05,0.003257091078785616,8.589777492083621e-05,0.00015824571125449614,1.0523624723740374e-05,0.003659431202433011,7.294926694365003e-05,0.005244193006695627,0.002054248021551906,0.00786598865367839,4.0508896169704145e-05,0.0002489058998857804,0.0015297555478638748,1.1445107990709595e-05,0.0021059527262412624,0.002537476880060263,0.0014471316152121973,0.00039471065779384375,0.0001327010976561822,0.00015686409016513517,0.0001569451698738699,2.0798763061035697e-05,0.00035908073162646824,0.003072214433818249,0.0020460017752357757,0.0025654993156861176,0.004616040032583133,5.2411968895648544e-05,2.0228621371328174e-05,0.00010871990917196569,1.5726361186464558e-05,0.0010251681470786046,7.914106752511193e-05,0.003210828312765523,0.00017691268474934467,0.001317152431777905,0.0005235025331283302,7.203533443867044e-05,0.0027109506457298404,0.00034749305219009983,2.9625002670224517e-05,0.00029882575305820283,3.3776384617908096e-05,2.486210313301805e-05,0.0003588394513364413,1.8354228994491386e-05,1.0321699520772026e-05,0.006191633101660754,2.3581120325907065e-05,0.0001271694812769576,0.0006418211134812698,0.0011469251123430622,0.0003592444924108211,0.0012159301481810844,0.0005348548046660336,1.942932379216773e-05,4.5363563605156326e-05,3.333294568810117e-05,1.8332175781213058e-05,0.0031215236455129722,0.0002176303697117765,3.080832462509397e-05
params,"{'lambd': 2.3657759586204537e-09, 'learning_rate': 8.073648339837064e-05}","{'lambd': 3.616826969502749e-10, 'learning_rate': 0.00023965198184953778}","{'lambd': 0.0032906406621343474, 'learning_rate': 0.0060393631292315515}","{'lambd': 0.00034906062251516533, 'learning_rate': 0.0020206386965792088}","{'lambd': 2.647558702806732e-08, 'learning_rate': 0.0008552397466905826}","{'lambd': 6.924035908092886e-10, 'learning_rate': 1.734034192449749e-05}","{'lambd': 2.0254605139810744e-05, 'learning_rate': 0.00010715726356597324}","{'lambd': 0.07941185431054294, 'learning_rate': 0.0007575645062083032}","{'lambd': 0.00013677713987481074, 'learning_rate': 0.000453701736209256}","{'lambd': 2.6286969485022007e-08, 'learning_rate': 0.00013175835356544723}","{'lambd': 1.0147355858826029e-08, 'learning_rate': 3.62516518970198e-05}","{'lambd': 3.279690343119814e-07, 'learning_rate': 3.7974076145977184e-05}","{'lambd': 3.149186508447722e-05, 'learning_rate': 0.004450669462835782}","{'lambd': 3.990703104634772e-05, 'learning_rate': 5.745883716400539e-05}","{'lambd': 4.1626774517808325e-09, 'learning_rate': 0.0028132829156474904}","{'lambd': 1.0674427358429156e-08, 'learning_rate': 0.0003552805397960181}","{'lambd': 4.639405917581956e-06, 'learning_rate': 0.0006325936191960573}","{'lambd': 6.2170497827440205e-06, 'learning_rate': 1.0963018548966977e-05}","{'lambd': 5.210451551251007e-06, 'learning_rate': 0.004871403938083344}","{'lambd': 0.0008493988124482035, 'learning_rate': 2.3364424511947145e-05}","{'lambd': 4.601021331692191e-08, 'learning_rate': 0.0006855998877650236}","{'lambd': 0.0003429597066850439, 'learning_rate': 0.0002457493701208448}","{'lambd': 0.0008355901368423341, 'learning_rate': 3.7574489866886296e-05}","{'lambd': 1.049060408718859e-05, 'learning_rate': 0.0004490911236999525}","{'lambd': 1.7783998919441335e-06, 'learning_rate': 0.002374952247905355}","{'lambd': 1.0895498471962523e-09, 'learning_rate': 0.0011063987967540236}","{'lambd': 1.8239061949652473e-07, 'learning_rate': 0.00010780196600497566}","{'lambd': 1.1108840960410042e-06, 'learning_rate': 1.2045554071149962e-05}","{'lambd': 5.460459726068718e-07, 'learning_rate': 0.005843796856107418}","{'lambd': 6.619880309519364e-10, 'learning_rate': 8.817903457666035e-05}","{'lambd': 5.651974544218266e-06, 'learning_rate': 9.642421060882102e-05}","{'lambd': 1.0970840365098392e-06, 'learning_rate': 1.1194462494293744e-05}","{'lambd': 7.468650268246384e-10, 'learning_rate': 0.0011960951256757913}","{'lambd': 0.003338033461463201, 'learning_rate': 0.00018748475929290895}","{'lambd': 0.00435480521801373, 'learning_rate': 0.00043689153757891017}","{'lambd': 1.5379107230854133e-07, 'learning_rate': 0.0015196691474397674}","{'lambd': 6.993025389457888e-10, 'learning_rate': 0.0047706371723545285}","{'lambd': 1.0624892553724256e-07, 'learning_rate': 0.004736941684985836}","{'lambd': 4.6950582007566175e-08, 'learning_rate': 8.034241278581956e-05}","{'lambd': 0.0018037048614938317, 'learning_rate': 0.003257091078785616}","{'lambd': 5.111306879637882e-05, 'learning_rate': 8.589777492083621e-05}","{'lambd': 1.8409297394368653e-10, 'learning_rate': 0.00015824571125449614}","{'lambd': 4.608515954503278e-06, 'learning_rate': 1.0523624723740374e-05}","{'lambd': 0.0009430397279776237, 'learning_rate': 0.003659431202433011}","{'lambd': 1.526846407648722e-09, 'learning_rate': 7.294926694365003e-05}","{'lambd': 8.69559540676666e-08, 'learning_rate': 0.005244193006695627}","{'lambd': 0.09909138290686112, 'learning_rate': 0.002054248021551906}","{'lambd': 2.430119647465802e-10, 'learning_rate': 0.00786598865367839}","{'lambd': 0.05982905260880546, 'learning_rate': 4.0508896169704145e-05}","{'lambd': 0.00013142484422418052, 'learning_rate': 0.0002489058998857804}","{'lambd': 0.019061510787834718, 'learning_rate': 0.0015297555478638748}","{'lambd': 1.6319571146102297e-08, 'learning_rate': 1.1445107990709595e-05}","{'lambd': 0.0002258912051502737, 'learning_rate': 0.0021059527262412624}","{'lambd': 1.8062232312875483e-06, 'learning_rate': 0.002537476880060263}","{'lambd': 3.789494594801537e-09, 'learning_rate': 0.0014471316152121973}","{'lambd': 2.045893874667179e-07, 'learning_rate': 0.00039471065779384375}","{'lambd': 4.728743370981909e-08, 'learning_rate': 0.0001327010976561822}","{'lambd': 0.00035719157517610404, 'learning_rate': 0.00015686409016513517}","{'lambd': 8.963250568930269e-10, 'learning_rate': 0.0001569451698738699}","{'lambd': 4.985118758843522e-06, 'learning_rate': 2.0798763061035697e-05}","{'lambd': 0.004802103260132093, 'learning_rate': 0.00035908073162646824}","{'lambd': 3.1593248919042293e-05, 'learning_rate': 0.003072214433818249}","{'lambd': 1.4191575674918481e-10, 'learning_rate': 0.0020460017752357757}","{'lambd': 0.0018891771017033082, 'learning_rate': 0.0025654993156861176}","{'lambd': 1.0786152330387745e-09, 'learning_rate': 0.004616040032583133}","{'lambd': 9.121856570902615e-10, 'learning_rate': 5.2411968895648544e-05}","{'lambd': 0.0018550101218309202, 'learning_rate': 2.0228621371328174e-05}","{'lambd': 5.064868543961059e-10, 'learning_rate': 0.00010871990917196569}","{'lambd': 0.0033408731145355007, 'learning_rate': 1.5726361186464558e-05}","{'lambd': 5.302191844331305e-05, 'learning_rate': 0.0010251681470786046}","{'lambd': 0.0014160652040739624, 'learning_rate': 7.914106752511193e-05}","{'lambd': 0.0006654511509644203, 'learning_rate': 0.003210828312765523}","{'lambd': 2.316997325185741e-07, 'learning_rate': 0.00017691268474934467}","{'lambd': 0.0004069841345677482, 'learning_rate': 0.001317152431777905}","{'lambd': 0.00041804461493772873, 'learning_rate': 0.0005235025331283302}","{'lambd': 0.03216595095583711, 'learning_rate': 7.203533443867044e-05}","{'lambd': 7.522748477083201e-05, 'learning_rate': 0.0027109506457298404}","{'lambd': 4.4549063607889215e-07, 'learning_rate': 0.00034749305219009983}","{'lambd': 1.8253303866008063e-09, 'learning_rate': 2.9625002670224517e-05}","{'lambd': 2.0831899628659748e-10, 'learning_rate': 0.00029882575305820283}","{'lambd': 0.00014288566284378383, 'learning_rate': 3.3776384617908096e-05}","{'lambd': 0.0011982331759902982, 'learning_rate': 2.486210313301805e-05}","{'lambd': 2.5570743802307886e-05, 'learning_rate': 0.0003588394513364413}","{'lambd': 1.0897970192285192e-10, 'learning_rate': 1.8354228994491386e-05}","{'lambd': 5.05962282283419e-06, 'learning_rate': 1.0321699520772026e-05}","{'lambd': 1.604946617764226e-10, 'learning_rate': 0.006191633101660754}","{'lambd': 3.942314621111085e-10, 'learning_rate': 2.3581120325907065e-05}","{'lambd': 0.00285652266066949, 'learning_rate': 0.0001271694812769576}","{'lambd': 2.6862252676037484e-10, 'learning_rate': 0.0006418211134812698}","{'lambd': 2.185519878865648e-07, 'learning_rate': 0.0011469251123430622}","{'lambd': 1.894416662582743e-08, 'learning_rate': 0.0003592444924108211}","{'lambd': 1.6358617241595704e-05, 'learning_rate': 0.0012159301481810844}","{'lambd': 1.2945713563030026e-05, 'learning_rate': 0.0005348548046660336}","{'lambd': 0.05592924583194092, 'learning_rate': 1.942932379216773e-05}","{'lambd': 2.265202087907768e-09, 'learning_rate': 4.5363563605156326e-05}","{'lambd': 4.560509371119114e-09, 'learning_rate': 3.333294568810117e-05}","{'lambd': 0.018053599029081886, 'learning_rate': 1.8332175781213058e-05}","{'lambd': 0.001575170343881702, 'learning_rate': 0.0031215236455129722}","{'lambd': 3.3067589269909034e-08, 'learning_rate': 0.0002176303697117765}","{'lambd': 0.0008216456972329936, 'learning_rate': 3.080832462509397e-05}"
split0_test_score,0.7550750663846255,0.8199449227805626,-1.0,-1.0,0.8305213677290925,0.7206500615951803,0.7954023030188027,-0.04389456131436931,0.7386047109476215,0.7909022476939082,0.7349126831821002,0.7355149207176784,-1.0,0.7288017533678985,-1.0,0.8001922809580697,0.8224373007571734,0.7257693700897939,-1.0,0.514842124776819,0.6700431172066758,0.6196540029704651,0.5491061813120073,0.8176238469989007,0.6985710010807697,-0.0011697038733147203,0.7520958961324393,0.7157080500437178,-1.0,0.7812073962882535,0.737311850383958,0.7218126061981551,0.817637538278862,0.3015640785499113,0.1917272393540117,0.8188920014682084,-1.0,-1.0,0.7642279534035685,-1.0,0.7262520505095161,0.8007872709135426,0.7002275886978382,-1.0,0.658624615129575,-1.0,-1.0,-1.0,-0.014881958783443894,0.6938469901445223,-1.0,0.7302988432870968,-1.0,-1.0,0.8283919690834745,0.8270559297689645,0.7843876823221649,0.6021063333088884,0.8208470930700019,0.7296890856894487,0.14439532363991836,-1.0,-1.0,-1.0,-1.0,0.736632061035342,0.37001782669649486,0.7450310873421577,0.08322006935810733,0.7457827352732391,0.5458988358532078,-1.0,0.777193553905073,-1.0,0.635634786223883,-0.0050186485410599335,-1.0,0.7726005034147332,0.7411803777331696,0.8231980003968975,0.6377082345351135,0.5036122708433641,0.8146449248785553,0.710419576768367,0.6682315949605928,-1.0,0.7675106180228377,0.3080356457278951,0.8291853929000321,0.8377699276682158,0.8257215099862203,0.794765657074313,0.8280970760859659,-0.08764099392010216,0.7353083963401645,0.7431832173542308,-0.024219156470585812,-1.0,0.8207293431087509,0.5793755444556745
split1_test_score,0.728472423567228,0.7989246877380851,-1.0,-1.0,0.03328058875250117,0.7247892977321634,0.7505446800010726,-0.004023351799271824,0.758278434604958,0.7640408003840826,0.7254175985073665,0.7083316576597107,-1.0,0.7199128554481564,-1.0,0.7896581630323873,0.8126689474388996,0.7028403267439381,-1.0,0.55151985427198,0.8074690242874482,0.6319637038390582,0.6017331330834191,0.8051042815260642,-1.0,0.8038151085998111,0.7897145977459508,0.7003742083320408,-1.0,0.7748280737680404,0.7502258545972579,0.5906780535753771,0.7529031605732561,0.24432101290195107,0.1718213756330309,0.8144982160060131,-1.0,-1.0,0.7523338673577276,-1.0,0.7271308673184409,0.8060764222810479,0.6804634310132236,-1.0,0.7383554216273895,-1.0,-0.005555169388057779,-1.0,-0.01740506310723111,0.7114660947353146,-1.0,0.6814140823740982,-1.0,-1.0,0.6726956365675691,0.8094959274351226,0.7957288285161137,0.6160770673660468,0.7661447768471703,0.7194139236166963,0.1445759158341331,-1.0,-1.0,-1.0,-1.0,0.7503069062226245,0.4092654805325002,0.7721540856071973,0.056081974619302644,0.7816871854335196,0.5234093016451418,-1.0,0.7883828955108867,0.6823247424089097,0.6408346404558962,-0.008209710431583472,-1.0,0.8185275627527959,0.7173907469865703,0.804939989529059,0.6504612093936981,0.5654158185251146,0.7841720467943598,0.7084966995654021,0.6804982401236656,-1.0,0.7143455234812417,0.36324606212707944,0.7738772025076865,0.8127322683786485,0.800356374679035,0.0022582255897838355,0.8004489098462018,-0.045810625952253936,0.733899242897027,0.7207825089781054,-0.04482066109084415,-1.0,0.8040148192053149,0.6468241211026924
split2_test_score,0.7766918373418791,0.8006930475454066,-1.0,-0.0024808283502701922,0.6864384936139283,0.7045882649332247,0.7472868046098994,-0.0898546511614049,0.7838195724411294,0.7727674586201161,0.7662301157807243,0.7596444017335875,-1.0,0.7261482880351287,-1.0,0.8255420194373716,0.833876411784614,0.6233065415941434,-1.0,0.5462705311319207,0.8264635418376983,0.639541946629884,0.5661822138321474,0.8309585368552913,-0.0014679427829213942,0.8212216561162521,0.7309214748983003,0.782845868063363,-1.0,0.7683294813254967,0.8148585471012433,0.6098594543720672,0.8350758672234225,0.28319107654164344,0.040941034843456126,0.004748868490048963,-1.0,-1.0,0.7723406318050134,-1.0,0.737257506111656,0.795310338702339,0.6917809698655768,-1.0,0.7683545280125976,-1.0,-1.0,-1.0,-0.0050626979101835445,0.7385056149907245,-1.0,0.7283662764260508,-1.0,-1.0,0.8497562263051176,0.829207276071376,0.8114607707657212,0.6174431737143644,0.8002301897318094,0.7036633975328943,0.12475487905150051,-1.0,-1.0,-1.0,-1.0,0.7618741183040763,0.3777832741093353,0.7745862356505995,0.06047745872580912,0.04904166621511019,0.6158433640586314,-1.0,0.795508019392859,0.01356936346502391,0.6478851482881567,-0.004395590078965839,-1.0,0.8303367133885979,0.7297113900734324,0.8286633009678245,0.6541710448312256,0.5645050534637831,0.8200438662929141,0.701497455580905,0.6585459928046702,-1.0,0.724074500929635,0.3253230094983883,0.8197399790615734,0.8131898181069177,0.8387585236164267,0.8215946049737236,0.8320046377804567,-0.034782305904944355,0.753449107043964,0.7830470298820351,-0.051791838735718354,-1.0,0.8072473872472082,0.5451579027354428
